fold,candidate_id,seed,test_start,test_end,total_pnl,max_drawdown_pct,profit_factor,positive_window_ratio
1,P6_LOSS_GUARD,3,nyse_20241018T200000Z,nyse_20241108T210000Z,-6.523662898349057,0.008483099953248809,0.03872656601042097,0.0
2,P6_LOSS_GUARD,3,nyse_20241115T210000Z,nyse_20241129T180000Z,0.49540041937247103,0.0015861715820403972,1.3904057614113892,0.5
3,P6_LOSS_GUARD,3,nyse_20241206T210000Z,nyse_20241224T180000Z,3.0792574812746976,0.000849649496904163,5.530187878199301,0.5
4,P6_LOSS_GUARD,3,nyse_20241227T210000Z,nyse_20250108T210000Z,5.738675158014017,0.0015171495685802178,5.728171892920549,1.0
5,P6_LOSS_GUARD,3,nyse_20250110T210000Z,nyse_20250131T210000Z,3.388523685165462,0.002580009981041621,2.6417202404568902,0.5
6,P6_LOSS_GUARD,3,nyse_20250207T210000Z,nyse_20250228T210000Z,1.8057583337940035,0.005912203530598097,1.3749741177267534,0.5
7,P6_LOSS_GUARD,3,nyse_20250307T210000Z,nyse_20250328T200000Z,-0.5031742852860372,0.0018536290579995074,0.750952795067156,0.25
8,P6_LOSS_GUARD,3,nyse_20250404T200000Z,nyse_20250425T200000Z,-5.082541299825101,0.006353176624781376,,0.0
9,P6_LOSS_GUARD,3,nyse_20250502T200000Z,nyse_20250523T200000Z,4.415840160787305,0.0031720549207248706,2.7401338687171144,0.75
10,P6_LOSS_GUARD,3,nyse_20250530T200000Z,nyse_20250618T200000Z,0.17766365724225042,0.0012760474609784297,1.1740370780429517,0.5
11,P6_LOSS_GUARD,3,nyse_20250620T200000Z,nyse_20250711T200000Z,0.8528006316879737,0.004884988359822001,1.2182197194936224,0.25
12,P6_LOSS_GUARD,3,nyse_20250718T200000Z,nyse_20250808T200000Z,-1.5120032383743434,0.00312717707688384,0.39561975497362156,0.25
13,P6_LOSS_GUARD,3,nyse_20250815T200000Z,nyse_20250905T200000Z,0.9528714480435038,0.00030927910079686275,4.851179426561698,0.5
14,P6_LOSS_GUARD,3,nyse_20250912T200000Z,nyse_20251003T200000Z,1.04071090932656,0.00045244276208707634,3.0180083557618134,0.25
15,P6_LOSS_GUARD,3,nyse_20251010T200000Z,nyse_20251031T200000Z,0.9420423866874241,0.0031897308689424497,1.2541244361578643,0.5
16,P6_LOSS_GUARD,3,nyse_20251107T210000Z,nyse_20251126T210000Z,-3.1258984968570607,0.0077056590729884826,0.5502695512231256,0.25
17,P6_LOSS_GUARD,3,nyse_20251128T180000Z,nyse_20251219T210000Z,1.848031110452027,0.0009275247438356235,3.4905415229271983,0.75
